Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
3CA001      19    No     00005AEA-00005B07       1E
3CA029      A5    No     00005B08-00005BB1       AA
3CA0DC       6    No     00005BB2-00005BBC        B
3CA0F0      19    No     00005BBD-00005BDA       1E
3CA119       4    No     00005BDB-00005BE3        9
3CA12D       5    No     00005BE4-00005BED        A
3CA141       4    No     00005BEE-00005BF6        9
3CA155       5    No     00005BF7-00005C00        A
3CA169       5    No     00005C01-00005C0A        A
3CA17D       5    No     00005C0B-00005C14        A
3CA191       5    No     00005C15-00005C1E        A
3CA1A5       5    No     00005C1F-00005C28        A
3CA1B9       5    No     00005C29-00005C32        A
3CA1CD       5    No     00005C33-00005C3C        A
3CA1E1       5    No     00005C3D-00005C46        A
3CA1F5       5    No     00005C47-00005C50        A
3CA209       4    No     00005C51-00005C59        9
3CA21D       5    No     00005C5A-00005C63        A
3CA230      3A    No     00005C64-00005CA2       3F
3CA385      A5    No     00005CA3-00005D4C       AA
3CA439      55    No     00005D4D-00005DA6       5A
3CA49D       5    No     00005DA7-00005DB0        A
3CA4B1       5    No     00005DB1-00005DBA        A
3CA4C5       5    No     00005DBB-00005DC4        A
3CA4D9       5    No     00005DC5-00005DCE        A
3CA4ED     17B    No     00005DCF-00005F4E      180
3D3E88       2    No     00005F4F-00005F55        7
3D3F10       3    No     00005F56-00005F5D        8
3E19CB      15    No     00005F5E-00005F77       1A
3E19E8      92    No     00005F78-0000600E       97
3E1BCF      11    No     0000600F-00006024       16
3E1BF0      68    No     00006025-00006091       6D
3E1C61      14    No     00006092-000060AA       19
3E1CCF      11    No     000060AB-000060C0       16
3E1CEC      8D    No     000060C1-00006152       92
3E1DCF      11    No     00006153-00006168       16
3E1DEC      92    No     00006169-000061FF       97
3E20D3       D    No     00006200-00006211       12
3E20F4      64    No     00006212-0000627A       69
3E2160      16    No     0000627B-00006295       1B
3E21D3       D    No     00006296-000062A7       12
3E21F4      64    No     000062A8-00006310       69
3E2260      1A    No     00006311-0000632F       1F
